bb,iaca.hsw,llvm-mca.13-r+a.hsw,llvm-mca.9-r+a.hsw,llvm-mca.8-r+a.hsw,uica.hsw,osaca.0.4.6.hsw,ithemal.bhive.hsw,difftune.artifact.hsw
4c0f439680000000f3440f6fb680000000c4631902ad800000002ac46211026e40660fdf8e80000000,2.48,7.03,7.03,4.1,4.0,2.5,3.21463012695,3.04
488395800000002a0fba7740006641b82a00c4626902d3c443fd00cb2a,2.75,8.05,16.03,5.11,7.0,7.0,6.13070678711,6.06
c08e800000002ac4e299bc96800000006683574000c1af8000000000c569146d40,4.96,10.1,24.07,6.14,7.0,7.0,6.53822753906,3.07
668356402a48c1e82af3440f5afec461fb2de7c46239abf8,2.48,7.05,9.03,4.08,7.0,7.0,5.92924682617,4.06
66450f63c166440f156f4066ffc266c14d402a48c17e402a,2.0,4.09,15.11,4.09,6.0,2.0,8.16454711914,4.05
660f6e4d40c4633902be800000002a66410f62e5f2440f70fb2ac5fae6d4,1.81,3.07,3.07,3.07,3.0,2.0,2.57690368652,3.03
c511637d40c5785b774066440f5a978000000066ff8580000000f3440f7f5f40,2.0,4.1,8.14,4.11,6.0,6.0,5.90106567383,4.04
66440f70e92a660f127d400f574d40c5b1585f40242a,2.97,6.04,6.04,6.04,3.0,3.0,1.96507904053,5.06
042a4c017640664439b580000000415dc4c32d4beeb0,1.95,6.04,7.03,6.04,6.0,6.0,6.2478723144499995,9.06
8395800000002a660f3a214f402a660f64c9c4627d19fac4e2559e9780000000,5.0,9.03,9.08,9.03,7.0,7.0,6.44846374512,4.07
c5c573de2a0f5a4d40c539594e40c46211adca8067402a,1.51,2.67,7.15,2.67,6.0,6.0,6.57475585938,5.04
49c1e82ac5fc118d80000000f2480f2cdc0f988580000000c5d4144e40,1.81,3.11,3.11,3.11,3.0,1.5,2.94686767578,5.05
c5f8ae5d40c5dd56c24c0f4cb78000000066440fc15740c4e2492bbf80000000,2.75,8.05,15.04,10.03,6.0,2.25,17.0229821777,6.03
660f13bd8000000048c166402a8097800000002ac4c11b5fcec4e279189d80000000,2.85,9.11,17.03,4.16,7.0,7.0,6.40259399414,3.08
c5e9fa9d8000000066440f57b780000000c4c17173f72a668357402ac5f8ae5e40,2.26,9.05,11.11,12.04,7.0,7.0,7.38526367188,6.02
660f4f9f800000006683c32a66440f4d5640c462abf766404983e500,1.84,8.31,8.31,7.12,4.0,1.75,2.15570861816,3.05
660f38286d40c4432d4cf1a0480fbae90066440f6bd1c5da5ea680000000,6.52,13.09,13.09,13.09,7.0,13.0,9.35413146973,7.05
4183d52a66440f382b5e4066440ff9a78000000048c16f4000f3450fbcec,1.74,3.09,7.11,3.09,6.0,6.0,6.49989562988,4.05
c57a115f40f3440f5e8e800000000fbab680000000008367402a66450fefed,7.0,13.08,15.2,13.08,7.0,7.0,11.171671142600001,5.05
440f5e868000000048035f4066f3440fbc8680000000c4631d4695800000002ac5796fb680000000,6.95,13.09,13.09,13.09,7.0,7.0,13.099184570299998,5.03
c55c5fad80000000660f71e72a4883f32a4c0f46e2660f3a0a4f402a,3.0,6.11,3.14,3.14,3.0,3.0,3.73331970215,5.04
c5da5ea580000000c462459a474048f747402a000000440fc29d800000002ac6868000000000,6.47,13.08,13.09,13.09,7.0,13.0,10.2712597656,5.99
c54d648e80000000664411b58000000048837f402ac441656bc3c4e27d1d5640,1.95,4.1,9.11,4.12,7.0,7.0,6.57424499512,4.05
66837d402ac539f8c14539c166f3450fbcf10fba76402a,1.51,3.09,7.09,3.09,6.0,1.25,6.53029296875,2.06
c4c175fcfdc57d707e402a66440f147f40660f4e5540c44165e9e2,1.95,7.05,7.05,3.1,3.01,2.0,2.49916000366,6.07
c4c170c2f12ac55b5c8680000000c5bd6ae766440f4e6e40c52563cc,3.88,8.06,8.06,8.06,4.0,4.0,5.478214721680001,4.07
8047402ac4e279185f4083af800000002a0f53f00f408680000000,1.95,8.1,21.03,3.15,6.0,6.0,6.632038574220001,14.97
490fb7cac4c15c57e948118f80000000660f3a1575402a450f5be7,2.21,4.09,11.04,10.05,7.0,7.0,5.78663269043,5.09
c4e37d0587800000002a4413b780000000480fba7740004d11dc66450f44dd,2.48,8.08,16.07,4.13,6.0,2.0,6.09234436035,3.05
c4627d204f4083e1004c0f466e404c0fb7a580000000f2450f12f5,2.0,8.04,8.04,3.09,3.0,2.0,8.04416259766,2.05
839780000000004983fb2ac4411561c54883af8000000000c4c12573d02a,2.26,8.05,16.03,3.15,13.0,13.0,6.068001708980001,6.1
c54d66fd44319d8000000048f75f408356402ac4c16573dd2a,3.0,9.11,23.03,4.17,7.0,7.0,5.96289550781,4.08
